22467	1839
16071	884
8167	1840
19492	2102
16075	890
1869	236
13735	738
3725	1664
26374	2715
13739	1294
5988	2385
28418	1400
11389	1802
24718	2718
16927	2582
32237	2597
12701	2111
35430	1825
35431	1826
13601	1603
6795	2361
2318	2939
2319	1611
2316	2963
2313	2094
2311	568
6720	2027
297	156
295	688
292	234
293	174
290	233
30843	2950
270	57
271	330
6479	2477
274	58
4650	246
4653	248
277	60
278	62
43692	2317
2268	1786
4431	2022
2264	684
8169	2658
2440	634
2441	1366
2446	274
2145	2165
2444	2924
10700	1187
10707	2568
12527	1375
108	22
109	23
102	13
103	14
100	11
101	12
106	20
107	21
104	15
105	17
2045	827
2042	971
36443	2627
6378	2449
6379	1576
9412	627
9414	551
9415	2892
26574	2123
6371	1710
10634	708
10633	709
6376	1790
6377	1436
10417	544
10416	542
10414	541
10413	538
10412	537
10411	534
10410	530
14135	1660
14136	2287
10418	545
22875	1138
9328	2324
9329	1855
9327	1971
2638	2628
16925	2134
8943	1887
8946	1256
30228	2879
7264	1115
7267	547
3517	1413
16928	2326
12234	2360
24566	2177
2685	1953
2686	1380
2682	2355
6809	2423
2738	2065
14629	1369
15711	2282
99	10
98	9
10561	591
91	1
93	3
92	2
95	5
94	4
97	7
96	6
1623	120
5183	1995
1993	959
21436	1499
1627	124
5187	1129
1997	2682
1996	824
1999	2683
1998	2894
1629	125
5189	1411
9047	2239
2860	1795
2862	1280
2865	321
2866	747
2867	677
2868	2028
29962	2014
20657	1882
12942	1785
26806	2827
26802	2527
3348	743
1190	605
3340	181
30412	2432
5454	656
1194	2758
3345	2015
37953	2599
14390	2407
10363	486
1758	892
1756	584
1753	1804
30252	2926
29811	1479
1177	2467
6977	1523
6975	2388
6972	1410
6973	2925
1171	243
1170	391
4251	1670
4250	791
4253	853
4252	1671
13945	1928
13947	1429
28693	2170
5530	324
18141	1441
18145	2339
18146	1711
1284	975
1287	762
1286	761
1003	549
1289	190
1288	1737
8765	1113
7189	1070
8767	2045
1578	1405
8760	2067
1573	96
1572	94
1571	93
1570	92
1576	99
7186	1567
1574	97
8052	2164
8385	2916
8502	426
8549	1625
8548	1629
8546	2641
34550	2797
8540	1623
23614	2862
7456	2368
4389	1725
7455	1812
6576	750
7453	1377
5628	277
5627	276
1220	2482
8492	423
1372	282
1375	685
1374	137
8494	425
1378	2808
13872	2261
409	1101
3834	429
3836	1983
3837	1433
13875	1502
4033	745
5996	1357
1229	227
23650	1167
26364	1724
4847	2353
11374	781
15003	2107
15550	2570
10260	2087
32314	1656
5665	629
25722	1272
392	1914
12711	2428
10970	1745
6785	922
6786	2061
2301	1222
6788	2365
23878	1477
42863	2923
2306	1743
25611	2605
16066	877
16067	878
16061	2646
11283	2469
11285	1858
26495	1650
4621	1751
13532	702
13535	2953
13534	2066
4626	465
4627	539
19964	1038
19965	1039
19966	1040
19967	1041
2274	596
11753	1085
2273	1398
2278	2161
16392	2716
16393	916
16391	913
26383	1599
16395	921
11016	2040
1729	2044
20733	2932
20734	2645
9537	2109
2454	245
2457	189
9532	1192
17287	1923
174	2132
173	348
171	555
3698	472
3699	1384
4538	2767
2054	728
2056	1022
2059	2291
4827	1084
3695	492
3696	505
3697	981
7982	1117
28318	2219
9406	1569
9405	2634
3089	1146
10622	618
10624	953
10625	1834
1507	82
9335	718
1504	1249
10408	528
10409	529
651	2563
33447	2374
9338	690
10390	494
10391	496
10392	497
10393	499
10394	508
10395	510
10396	511
10397	1697
17750	2082
9627	1207
3087	1780
1509	1652
13076	2184
13193	2262
18841	2639
37012	2020
1977	258
12224	662
10710	1931
12221	1866
2697	1048
2692	2108
19976	1886
6818	2841
1974	1797
14873	2500
1604	110
9752	1562
14090	908
6776	2887
7338	2689
14099	2815
9758	2765
1618	117
3235	2437
1964	1005
1965	1047
1613	115
1610	114
1611	1127
8841	2883
2870	2755
2877	1242
2875	360
2874	936
3356	184
26814	2430
26815	2600
3358	866
7667	1428
5440	1722
18820	2242
18821	2830
30530	2260
1765	1974
1142	222
1143	251
1140	606
1141	847
6964	923
1144	244
1145	171
12489	1072
8622	673
17133	2772
18153	2667
27602	2059
18156	1729
18154	2588
5501	919
1546	1484
34090	2300
1543	2603
1540	1442
11111	630
11112	632
1548	448
1549	444
8710	2752
762	2638
7199	403
8715	1850
4298	2004
13846	979
8538	2337
8539	1626
9985	1561
8026	723
5137	1202
8025	660
38367	2860
14500	1356
6564	1592
5611	968
5614	275
417	2453
410	1100
411	1099
1384	559
1385	1264
418	2448
1381	564
3580	1986
3823	2252
24319	2379
3821	875
23430	2117
5471	1958
3828	2440
8440	2541
8441	1903
11565	661
4283	927
26553	1296
20627	2487
7539	1282
5478	2112
35326	2023
7537	1271
7536	1281
53291	2435
10338	1631
19609	1183
19608	1489
25041	1956
35745	2937
16121	1228
19600	2073
16123	898
385	1753
386	368
6179	1395
6176	1020
12726	2151
12724	1685
12723	1344
6173	567
43328	2575
14601	2580
31973	2223
6770	637
6771	944
6772	1705
6773	2466
11290	1086
11291	1721
9968	1883
23651	1169
3753	597
1073	291
32079	1846
19918	2512
4631	1773
2194	2363
2195	404
2197	1682
252	43
253	44
22739	1134
251	42
256	45
257	46
25424	1518
19916	1653
2200	1486
2202	1416
2204	1980
31803	1698
31802	2281
2208	899
2209	386
11585	1563
19596	1031
6684	1331
9502	737
9500	2509
2424	845
6273	2958
43503	2198
4810	2185
168	2424
164	2712
7844	997
18580	2206
167	1916
17290	1925
7840	2068
7843	1214
163	2231
3689	843
3683	955
3680	1575
3687	1007
3686	1006
3684	2005
1843	1323
6196	2927
2518	731
7996	364
7995	362
2510	2071
30824	2221
2736	1667
2737	1381
30825	1597
6629	2684
5292	962
5293	870
3533	1994
17749	1933
9182	1463
21700	2475
5054	739
10364	996
5056	2462
5052	1170
1814	2956
23427	2843
23349	1898
13140	2038
1818	2898
